Company    share      C              gamma  fitness
ENEL       ENEL.M     456.2996744     0.0001 0.2967566801
ENEL       ENEL.M        10000.0      1e-06  0.3215345852
ECIFY      ECIFY      70.56574475      1e-05 0.2753212617
ECIFY      ECIFY      72.21911647      1e-05 0.2753585517
ENGI.PA    ENGI.P     482.0273713      1e-05 0.2994760969
ENGI.PA    ENGI.P     70.56633785      1e-05 0.2753210566
EXELON     EXC           10000.0      1e-05 0.2695273592
EXELON     EXC        10.92553484     0.0001 0.2688109997
